PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF,Metta World Peace (6123697),Metta World Peace,6123697,3000,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,C,Chris Kaman (6123812),Chris Kaman,6123812,3000,Min@Por 09:00PM ET,Por,
,,,,,,,,,PF,Louis Amundson (6123760),Louis Amundson,6123760,3000,GS@NY 07:30PM ET,NY,
,,,,,,,,,C,Chris Andersen (6123780),Chris Andersen,6123780,3000,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Ronnie Price (6123639),Ronnie Price,6123639,3000,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,SF,Mike Dunleavy (6123704),Mike Dunleavy,6123704,3000,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,PG,C.J. Watson (6123626),C.J. Watson,6123626,3000,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Udonis Haslem (6123736),Udonis Haslem,6123736,3000,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Sasha Vujacic (6123674),Sasha Vujacic,6123674,3000,GS@NY 07:30PM ET,NY,
,,,,,,,,,PG,Brian Roberts (6123613),Brian Roberts,6123613,3000,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,PF,Jason Thompson (6123761),Jason Thompson,6123761,3000,GS@NY 07:30PM ET,GS,
,,,,,,,,,PF,Jeff Ayres (6123746),Jeff Ayres,6123746,3000,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,PF,Josh McRoberts (6123738),Josh McRoberts,6123738,3000,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Sonny Weems (6123682),Sonny Weems,6123682,3000,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,SF,Jeremy Evans (6123722),Jeremy Evans,6123722,3000,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SG,Justin Holiday (6123652),Justin Holiday,6123652,3000,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,C,Robert Sacre (6123789),Robert Sacre,6123789,3000,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,PG,Shelvin Mack (6123611),Shelvin Mack,6123611,3000,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,PF,Kyle O'Quinn (6123763),Kyle O'Quinn,6123763,3000,GS@NY 07:30PM ET,NY,
,,,,,,,,,SG,Ian Clark (6123678),Ian Clark,6123678,3000,GS@NY 07:30PM ET,GS,
,,,,,,,,,SG,Lamar Patterson (6123653),Lamar Patterson,6123653,3000,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,SG,C.J. Wilcox (6123665),C.J. Wilcox,6123665,3000,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,SG,John Jenkins (6123684),John Jenkins,6123684,3000,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,PF,Cory Jefferson (6123772),Cory Jefferson,6123772,3000,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PG,Tim Frazier (6123646),Tim Frazier,6123646,3000,Min@Por 09:00PM ET,Por,
,,,,,,,,,C,Mike Muscala (6123784),Mike Muscala,6123784,3000,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,PF,Cameron Bairstow (6123750),Cameron Bairstow,6123750,3000,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,C,Tarik Black (6123790),Tarik Black,6123790,3000,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,SF,Devyn Marble (6123712),Devyn Marble,6123712,3000,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Adreian Payne (6123777),Adreian Payne,6123777,3000,Min@Por 09:00PM ET,Min,
,,,,,,,,,PG,Keith Appling (6123629),Keith Appling,6123629,3000,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PG,Marcelo Huertas (6123618),Marcelo Huertas,6123618,3000,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,SF,Pat Connaughton (6123729),Pat Connaughton,6123729,3000,Min@Por 09:00PM ET,Por,
,,,,,,,,,C,Dewayne Dedmon (6123802),Dewayne Dedmon,6123802,3000,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,SF,Branden Dawson (6123709),Branden Dawson,6123709,3000,Chi@LAC 03:30PM ET,LAC,
