C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Jordan Staal (6180577),Jordan Staal,6180577,3900,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,D,Nick Holden (6180820),Nick Holden,6180820,3900,Col@Det 07:30PM ET,Col,
,,,,,,,,,,RW,Dale Weise (6180713),Dale Weise,6180713,3900,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,LW,Carl Hagelin (6180674),Carl Hagelin,6180674,3900,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,C,Victor Rask (6180583),Victor Rask,6180583,3900,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,C,Elias Lindholm (6180585),Elias Lindholm,6180585,3900,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,D,Trevor Daley (6180795),Trevor Daley,6180795,3800,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,RW,Johan Franzen (6180732),Johan Franzen,6180732,3800,Col@Det 07:30PM ET,Det,
,,,,,,,,,,D,Dan Girardi (6180785),Dan Girardi,6180785,3800,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Danny DeKeyser (6180824),Danny DeKeyser,6180824,3800,Col@Det 07:30PM ET,Det,
,,,,,,,,,,LW,Anthony Duclair (6180710),Anthony Duclair,6180710,3800,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Brian Campbell (6180841),Brian Campbell,6180841,3700,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Mike Ribeiro (6180602),Mike Ribeiro,6180602,3700,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,C,Antoine Vermette (6180633),Antoine Vermette,6180633,3700,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,C,Valtteri Filppula (6180606),Valtteri Filppula,6180606,3700,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,D,Olli Maatta (6180805),Olli Maatta,6180805,3700,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,LW,Alex Tanguay (6180680),Alex Tanguay,6180680,3600,Col@Det 07:30PM ET,Col,
,,,,,,,,,,C,Vincent Lecavalier (6180561),Vincent Lecavalier,6180561,3600,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,Mike Fisher (6180603),Mike Fisher,6180603,3600,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,LW,Jamie McGinn (6180648),Jamie McGinn,6180648,3600,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,C,Jori Lehtera (6180623),Jori Lehtera,6180623,3600,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,D,Jaccob Slavin (6180806),Jaccob Slavin,6180806,3600,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Brian Gionta (6180711),Brian Gionta,6180711,3500,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,D,Jay Bouwmeester (6180843),Jay Bouwmeester,6180843,3500,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,D,John-Michael Liles (6180796),John-Michael Liles,6180796,3500,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,C,Trevor Lewis (6180566),Trevor Lewis,6180566,3500,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,David Desharnais (6180552),David Desharnais,6180552,3500,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,RW,Kevin Hayes (6180720),Kevin Hayes,6180720,3500,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,C,Patrik Berglund (6180621),Patrik Berglund,6180621,3400,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,D,Dmitry Kulikov (6180848),Dmitry Kulikov,6180848,3400,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Oscar Lindberg (6180569),Oscar Lindberg,6180569,3400,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Ron Hainsey (6180794),Ron Hainsey,6180794,3300,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,D,Niklas Kronwall (6180811),Niklas Kronwall,6180811,3300,Col@Det 07:30PM ET,Det,
